city;country;population
Jiawa Airikecun;China;4235
Kanjia;China;75669
Taitou;China;60354
Hehua;China;24814
Guojia;China;37008
Xicang;China;2927
Dongshan;China;10639
Hanbin;China;10407
Yingye'er;China;11485
Daoli;China;0
Yolombó;Colombia;6033
Villanueva;Colombia;3707
Villagarzón;Colombia;7015
Uramita;Colombia;2292
Tarso;Colombia;2700
Santa Lucía;Colombia;15760
Santa Ana;Colombia;13950
San Pedro de Urabá;Colombia;30527
San Fernando;Colombia;1615
Ricaurte;Colombia;10788
Quimbaya;Colombia;35350
Purísima de la Concepción;Colombia;14705
Punta de Piedras;Colombia;0
Puerto Wilches;Colombia;31698
Puerto Salgar;Colombia;15019
Puerres;Colombia;0
Palermo;Colombia;9896
Páez;Colombia;1220
Orocué;Colombia;2835
Maripí;Colombia;1143
Manta;Colombia;1410
Los Córdobas;Colombia;2007
Linares;Colombia;8974
Liborina;Colombia;7928
La Vega;Colombia;5706
La Unión;Colombia;20769
La Playa;Colombia;1215
González;Colombia;5634
Elías;Colombia;1117
Coello;Colombia;769
Carmen de Carupa;Colombia;1928
Candelaria;Colombia;23989
Calamar;Colombia;3745
Briceño;Colombia;2214
Bolívar;Colombia;4165
Bagadó;Colombia;4561
Arbeláez;Colombia;5252
Arauquita;Colombia;9950
Arauca;Colombia;85585
Anzá;Colombia;0
Andalucía;Colombia;18132
Campo Alegre;Colombia;1052
Mesetas;Colombia;9751
Altos del Rosario;Colombia;5220
Isnos;Colombia;24593
Valle del Guamuez;Colombia;9969
San Martín de Loba;Colombia;0
San Juan de Dios;Costa Rica;15469
Miramar;Costa Rica;6540
Golfito;Costa Rica;6777
San Luis;Cuba;6690
Manzanillo;Cuba;128188
Güines;Cuba;68935
Guáimaro;Cuba;39358
Bartolomé Masó;Cuba;53024
São Filipe;Cape Verde;8189
Sotíra;Cyprus;4444
Pissoúri;Cyprus;1078
Mosfilotí;Cyprus;1158
Klírou;Cyprus;1623
Vilémov;Czech Republic;1008
Veverská Bítýška;Czech Republic;2842
Velké Pavlovice;Czech Republic;3078
Tovačov;Czech Republic;2605
Tišnov;Czech Republic;8227
Štěchovice;Czech Republic;1377
Staré Město;Czech Republic;6742
Staré Křečany;Czech Republic;1244
Slavkov;Czech Republic;1686
Sedlnice;Czech Republic;1327
Řečany nad Labem;Czech Republic;1364
Prostějov;Czech Republic;47374
Plaňany;Czech Republic;1467
Planá nad Lužnicí;Czech Republic;3128
Paskov;Czech Republic;3754
Osoblaha;Czech Republic;1136
Okrouhlice;Czech Republic;1210
Moutnice;Czech Republic;1139
Mladá Boleslav;Czech Republic;43684
Milíkov;Czech Republic;1291
Litvínov;Czech Republic;27022
Kvasiny;Czech Republic;1349
Krumvíř;Czech Republic;1230
Kroměříž;Czech Republic;29126
Kokory;Czech Republic;1099
Klatovy;Czech Republic;23102
Kbely;Czech Republic;5457
Jindřichův Hradec;Czech Republic;22812
Hrušovany nad Jevišovkou;Czech Republic;3309
Horní Jiřetín;Czech Republic;1963
Hodslavice;Czech Republic;1699
Hlučín;Czech Republic;14228
Herálec;Czech Republic;1080
Dolní Újezd;Czech Republic;1138
Dobroměřice;Czech Republic;1329
Dětmarovice;Czech Republic;3821
Cvikov;Czech Republic;4435
Čejč;Czech Republic;1232
Albrechtice nad Orlicí;Czech Republic;1063
Vysehrad;Czech Republic;1913
Zscherben;Germany;1613
Zschepplin;Germany;3373
Zimmern ob Rottweil;Germany;6061
Ziltendorf;Germany;1639
Zarrentin;Germany;3243
Wurzbach;Germany;3864
Worbis;Germany;5371
Wolpertshausen;Germany;2037
Wolframs-Eschenbach;Germany;2911
Woldegk;Germany;4144
Willingshausen;Germany;5385
Wildemann;Germany;1135
Wietzen;Germany;2205
Wetschen;Germany;1785
Westensee;Germany;1582
Wendelsheim;Germany;1453
Weisel;Germany;1161
Weinstadt-Endersbach;Germany;26166
Weilheim an der Teck;Germany;9634
Wehringen;Germany;2877
Weeze;Germany;10131
Waxweiler;Germany;1128
Wallgau;Germany;1446
Waldenburg;Germany;4597
Wachtberg;Germany;20032
Vrees;Germany;1577
Voltlage;Germany;1821
Vöhrenbach;Germany;4167
Unterdietfurt;Germany;2174
Triberg;Germany;5275
Treuen;Germany;9189
Tornesch;Germany;13079
Tittmoning;Germany;6084
Thomm;Germany;1036
Thiersheim;Germany;2117
Thanstein;Germany;1045
Tagmersheim;Germany;1083
Süstedt;Germany;1533
Surberg;Germany;3176
Stolberg;Germany;56377
Steinheim an der Murr;Germany;11374
Steinheid;Germany;1311
Sohland am Rotstein;Germany;1433
Sittensen;Germany;5462
Sinsheim;Germany;35219
Seehausen am Staffelsee;Germany;2416
Schweinfurt;Germany;54012
Schüttorf;Germany;11465
Schuby;Germany;2530
Schashagen;Germany;2385
Ruppichteroth;Germany;10749
Rügland;Germany;1258
Roth;Germany;25083
Rohrenfels;Germany;1489
Roding;Germany;11406
Ringsheim;Germany;2112
Rimpar;Germany;7718
Rietberg;Germany;28672
Riepsdorf;Germany;1054
Florennes;Belgium;10723
Fleurus;Belgium;22080
Eugies;Belgium;3160
Eke;Belgium;5168
Dworp;Belgium;5470
Denderhoutem;Belgium;6000
Daverdisse;Belgium;1299
Clabecq;Belgium;4782
Chièvres;Belgium;6045
Bomal;Belgium;1436
Blaugies;Belgium;1401
Bekegem;Belgium;1060
Beauraing;Belgium;8242
Astene;Belgium;4935
Amblève;Belgium;5221
Reuland;Belgium;1592
Bingo;Burkina Faso;0
Zlataritsa;Bulgaria;2468
Targovishte;Bulgaria;34793
Saedinenie;Bulgaria;6427
Spasovo;Bulgaria;0
Smolyan;Bulgaria;26167
Knezha;Bulgaria;6889
Chelopech;Bulgaria;1760
Blagoevgrad;Bulgaria;67810
Balchik;Bulgaria;13000
Antonovo;Bulgaria;1543
Dār Kulayb;Bahrain;65466
Isale;Burundi;0
Ngozi;Burundi;21506
Tanguiéta;Benin;19833
Hévié;Benin;13450
Santa Rosa de Yacuma;Bolivia;4459
Huanuni;Bolivia;15492
Achacachi;Bolivia;8447
Viçosa do Ceará;Brazil;16636
Taperoá;Brazil;8879
Santa Luzia;Brazil;13243
